weight,height,a,b,c,d
90,55,-0.004202717,1.609709716,0.2839712423,9.430981187
170,55,-0.004598531,1.570548739,0.2713379982,9.702423764
90,60,-0.004408069,1.588601394,0.2772905336,9.571848001
210,60,-0.004946909,1.540723923,0.2609756474,9.942190599
100,65,-0.004709767,1.560591717,0.267957104,9.778852325
240,65,-0.005274677,1.515927579,0.2517892253,10.16934608
110,70,-0.005190843,1.52200088,0.2540891055,10.1111052
280,70,-0.005718725,1.486415735,0.2400979138,10.4809286
120,75,-0.005959148,1.472105234,0.2340925822,10.6518981
320,75,-0.006214046,1.458016876,0.2279549128,10.83509698
