weight,height,a,b,c,d
90,55,1.159985959,7.433403776,1.075214082,2.645947559
170,55,1.725522779,7.422758103,1.237632881,2.645102804
90,60,1.457671455,7.424077362,1.166127092,2.645594708
210,60,2.176795422,7.403429801,1.344306059,2.644369265
100,65,1.884428048,7.455935871,1.278600104,2.647381969
240,65,2.570009081,7.413113774,1.427232491,2.645138414
110,70,2.480529786,7.430359963,1.409734575,2.645999801
280,70,3.060167461,7.437873625,1.518766988,2.646403821
120,75,3.283938833,7.433554308,1.560281282,2.646875766
320,75,3.547215509,7.466752028,1.601867747,2.648271203
