Weight,Height,lower_asymptote,upper_asymptote,growth_rate,inflection_point
100,60,-0.001583311,1.813888608,1.240398046,3.117801384
100,65,-0.001740434,1.804392332,1.221542641,3.140679505
100,70,-0.001731921,1.786270915,1.204778824,3.16563777
110,60,-0.001508344,1.795674667,1.326061032,2.930594803
110,65,-0.001598841,1.782590638,1.307917216,2.951587347
110,70,-0.001746565,1.77457073,1.281140144,2.981247489
110,75,-0.00173484,1.749352876,1.263083953,3.00575242
120,60,-0.001470123,1.788093499,1.40294995,2.773403562
120,65,-0.001612399,1.781427161,1.378670217,2.797527119
120,70,-0.001691176,1.750908101,1.361544423,2.81685095
120,75,-0.001696654,1.738109313,1.336690845,2.845579068
130,60,-0.001473319,1.772348864,1.482269823,2.632421359
130,65,-0.001646068,1.770604097,1.452241423,2.658244097
130,70,-0.001422212,1.734682171,1.445354697,2.672973156
130,75,-0.001821245,1.736757327,1.400021213,2.710315308
130,80,-0.00187905,1.709526571,1.373997515,2.739452038
140,60,-0.00142939,1.762568297,1.55800595,2.509505042
140,65,-0.001551235,1.750701083,1.532810831,2.530434927
140,70,-0.001577589,1.735673353,1.506847317,2.553585895
140,75,-0.00172487,1.721535236,1.472566095,2.584105566
140,80,-0.001897201,1.704733029,1.436453988,2.618225385
150,60,-0.001328084,1.74450434,1.63914592,2.396840044
150,65,-0.001497796,1.743066262,1.603540876,2.421715709
150,70,-0.001542447,1.722657778,1.577952209,2.442701391
150,75,-0.001682456,1.707933186,1.542393343,2.472521111
150,80,-0.001849225,1.696880283,1.500502413,2.508172589
160,60,-0.001435472,1.746098116,1.702524027,2.302408974
160,65,-0.001508446,1.734220275,1.671890613,2.323701799
160,70,-0.001680739,1.730090558,1.633275513,2.350377431
160,75,-0.001709799,1.704454014,1.60228987,2.376277946
160,80,-0.001973333,1.698351909,1.555080213,2.412787215
170,60,-0.001327067,1.73169098,1.777484393,2.212067041
170,65,-0.001475536,1.726490771,1.740871068,2.234984439
170,70,-0.001569277,1.711232805,1.70675054,2.257734678
170,75,-0.001811923,1.704433127,1.659393736,2.289765807
170,80,-0.001880491,1.684713783,1.61915763,2.321358545
180,60,-0.00134585,1.726881795,1.844074649,2.132556766
180,65,-0.001434259,1.718104609,1.811009001,2.152012635
180,70,-0.001633215,1.706354144,1.768630133,2.177453619
180,75,-0.00173785,1.693217453,1.723757411,2.207692764
180,80,-0.001881537,1.6767843,1.679645987,2.239233921
190,60,-0.00139958,1.729122193,1.902668668,2.062510773
190,65,-0.001522031,1.715030494,1.870389341,2.080215281
190,70,-0.001671169,1.703438664,1.826391592,2.105606081
190,75,-0.001711396,1.68529438,1.785481327,2.132999392
190,80,-0.001932709,1.67402917,1.732571843,2.166858272
200,60,-0.001433219,1.726332818,1.96449249,1.996409597
200,65,-0.001545216,1.708586462,1.933362537,2.012702558
200,70,-0.001721934,1.6969332,1.886556089,2.037743859
200,75,-0.00172203,1.674001067,1.848493978,2.063250965
200,80,-0.001981882,1.671041672,1.785127451,2.099809782
210,60,-0.001295535,1.716258967,2.035254291,1.933364716
210,65,-0.001479309,1.698202994,2.00083464,1.949318208
210,70,-0.001645245,1.689691101,1.949230692,1.975291194
210,75,-0.001792054,1.678624721,1.895178243,2.004883788
210,80,-0.001901163,1.659950165,1.845654799,2.034925187
220,60,-0.00138448,1.713982159,2.092503763,1.877063164
220,65,-0.001512684,1.698868837,2.055078661,1.894294759
220,70,-0.001716511,1.685268995,2.005085031,1.918046677
220,75,-0.00171545,1.667173066,1.957887209,1.944940162
220,80,-0.001953945,1.658487375,1.894763473,1.978346952
230,60,-0.001496783,1.710194798,2.149890147,1.823352569
230,65,-0.001561691,1.69544202,2.111310086,1.841650146
230,70,-0.001701956,1.682749659,2.060104004,1.865760594
230,75,-0.001756534,1.666159958,2.008561093,1.892906812
230,80,-0.001966345,1.655737248,1.944624969,1.925308243
240,60,-0.001394811,1.703858286,2.213746879,1.77376481
240,65,-0.001435767,1.687495112,2.17653423,1.791059459
240,70,-0.001639337,1.677043804,2.118103136,1.815855156
240,75,-0.001777893,1.664927403,2.058094677,1.844202524
240,80,-0.001792724,1.648764981,2.002703849,1.87418395
250,65,-0.001407218,1.684777235,2.232734124,1.745607346
250,70,-0.001569647,1.674447028,2.172905758,1.770205024
250,75,-0.001670742,1.655980679,2.118657813,1.795925505
250,80,-0.001896002,1.64738511,2.047955783,1.828726901
260,65,-0.001375663,1.676951975,2.293724761,1.701535928
260,70,-0.001692781,1.673761591,2.220518099,1.72813842
260,75,-0.00173027,1.654793107,2.165674786,1.753303377
260,80,-0.001851217,1.640800997,2.101043782,1.783876464
270,65,-0.001413667,1.676454331,2.343922349,1.662338757
270,70,-0.001678104,1.671089646,2.272227999,1.68798139
270,75,-0.001721871,1.654431101,2.213243151,1.713817446
270,80,-0.001935309,1.644968827,2.138729066,1.745713351
280,70,-0.001594186,1.661699101,2.333383231,1.648020819
280,75,-0.001843902,1.652878283,2.257358355,1.676298162
280,80,-0.001994185,1.641673193,2.184430486,1.707079925
290,70,-0.001595202,1.660764646,2.381809797,1.612852047
290,75,-0.001842271,1.654625966,2.300765642,1.641762599
290,80,-0.002004095,1.646427856,2.224516962,1.672925785
300,70,-0.00169561,1.669537844,2.419694801,1.581904694
300,75,-0.001812304,1.651942585,2.349407973,1.607675596
300,80,-0.001904083,1.637378378,2.277301877,1.636882555
310,70,-0.00171962,1.660618254,2.471210547,1.54862996
310,75,-0.001772442,1.645074141,2.40166074,1.574339688
