weight,height,a,b,c,d
100,60,-0.001356139,1.753856703,1.57377989,2.505750931
210,60,-0.001433399,1.739555077,1.553505368,2.522273065
110,65,-0.001474872,1.732003363,1.542827698,2.531121581
240,65,-0.001600872,1.710136901,1.511514249,2.557603027
120,70,-0.001619011,1.707138467,1.50721422,2.561301386
280,70,-0.001830212,1.673134332,1.457969973,2.604937738
130,75,-0.001782734,1.680503558,1.468707264,2.595230243
320,75,-0.002141227,1.628285051,1.391822286,2.667278368
150,80,-0.002029647,1.643722954,1.414778091,2.645129462
360,80,-0.002544832,1.578061395,1.315372151,2.745303859
