Weight,Height,lower_asymptote,upper_asymptote,growth_rate,inflection_point,,lower_asymptote_std_error,upper_asymptote_std_error,growth_rate_std_error,inflection_point_std_error,lower_asymptote_ratio,upper_asymptote_ratio,growth_rate_ratio,inflection_point_ratio
100,60,-0.004809176,1.605133978,0.3123524558,8.357987155,,0.0043066663,0.0810567838,0.017004146,0.1766725493,-1.116681782,19.80258658,18.36919393,47.30778601
100,65,-0.004960355,1.590386135,0.3072816644,8.443589367,,0.0043214142,0.0787719992,0.0165992977,0.1765402343,-1.147854502,20.18973938,18.5117268,47.82813052
100,70,-0.005150431,1.573017521,0.3011014389,8.551323302,,0.004340041,0.0761147173,0.0161153004,0.1764748101,-1.186724032,20.66640432,18.68419652,48.45633946
110,60,-0.004728073,1.595504509,0.3085914166,8.487347334,,0.004324223,0.0800960457,0.0168224135,0.1781431337,-1.093392529,19.91989112,18.34406323,47.64341548
110,65,-0.004885674,1.580513775,0.3033067562,8.579247317,,0.0043397195,0.0777753409,0.0164033676,0.1780743942,-1.125804171,20.32152808,18.49051757,48.17788292
110,70,-0.005083851,1.562898798,0.2968733319,8.694988576,,0.0043592975,0.0750832887,0.0159032654,0.1780971864,-1.166208717,20.81553465,18.66744503,48.82159426
110,75,-0.005318402,1.543643615,0.2895411454,8.832425128,,0.0043825983,0.0721841157,0.0153463874,0.1782725894,-1.213527179,21.38481022,18.86705573,49.5444934
120,60,-0.004664221,1.587041645,0.3051969988,8.603792944,,0.0043131615,0.0787462657,0.0165514996,0.1783589401,-1.081392618,20.15386547,18.43923549,48.23864136
120,65,-0.0048279,1.571831623,0.2997150473,8.701706707,,0.0043292672,0.0764081959,0.0161221917,0.1783533325,-1.115177268,20.57150551,18.59021737,48.78914561
120,70,-0.005033744,1.553997,0.2930488042,8.825102333,,0.0043496199,0.0737026317,0.0156106799,0.1784629426,-1.157283558,21.08468806,18.772328,49.45061537
120,75,-0.005277352,1.534550112,0.2854619265,8.971732822,,0.0043738449,0.0707971345,0.0150422118,0.178750781,-1.206570372,21.67531387,18.97739041,50.19129298
130,60,-0.004613665,1.579496426,0.3021012219,8.709657105,,0.0043471859,0.0783278192,0.0164710551,0.1803783725,-1.061299223,20.16520365,18.34134006,48.28548448
130,65,-0.004783136,1.564087806,0.2964361376,8.813334815,,0.0043640404,0.0759506763,0.016027949,0.1804352489,-1.096033771,20.59346778,18.49495138,48.8448619
130,70,-0.004996262,1.546056295,0.2895545611,8.944072785,,0.0043853424,0.0732061814,0.0155008156,0.1806318256,-1.139309441,21.11920421,18.67995654,49.51548684
130,75,-0.005248465,1.526440756,0.2817331325,9.099530967,,0.0044106986,0.0702666902,0.0149160693,0.1810336748,-1.189939605,21.72353289,18.88789373,50.26430014
130,80,-0.005535661,1.506090318,0.2732146279,9.277874272,,0.0044397641,0.0672684185,0.0142959892,0.1816995012,-1.246836848,22.38926306,19.11127834,51.06163865
140,60,-0.004573551,1.572690462,0.2992534293,8.806710962,,0.0043439319,0.0773231505,0.0162635125,0.1808014171,-1.052859696,20.33919276,18.40029505,48.70930274
140,65,-0.004748557,1.557101229,0.293417506,8.915930336,,0.0043613667,0.074929645,0.0158112052,0.1809198134,-1.088777322,20.78084353,18.55756733,49.28111614
140,70,-0.004968635,1.538892676,0.2863357298,9.053732946,,0.0043834041,0.0721721948,0.0152739174,0.1812008632,-1.133510693,21.32251459,18.74671199,49.96517557
140,75,-0.005229029,1.519128367,0.2782971555,9.21769235,,0.0044096356,0.069226206,0.0146789531,0.1817121027,-1.185818877,21.94441173,18.95892389,50.72690379
140,80,-0.00552546,1.498673673,0.2695556508,9.405907688,,0.0044396996,0.0662294936,0.0140492893,0.1825136905,-1.244557285,22.62849362,19.1864261,51.53535422
150,60,-0.00454178,1.56649207,0.2966147371,8.896331293,,0.0043428463,0.0764349896,0.016077595,0.1812685833,-1.045807256,20.49443689,18.44894948,49.07817522
