Weight,Height,a,b,c,d
100,60,1.260268495,7.313360155,1.09592823,2.644852864
100,65,1.447372421,7.313360022,1.152187911,2.644852879
100,70,1.673401652,7.313361547,1.214267296,2.644852993
110,60,1.375684491,7.355092742,1.135005201,2.645600096
110,65,1.57684338,7.355091788,1.192111562,2.645599977
110,70,1.819131778,7.355091862,1.255004486,2.645599987
110,75,2.089588332,7.355093038,1.319160902,2.645600029
120,60,1.486878049,7.389987173,1.170348781,2.646153535
120,65,1.701135691,7.389986723,1.22814461,2.646153472
120,70,1.958485631,7.389986204,1.291685684,2.64615336
120,75,2.244909735,7.38998813,1.356384838,2.64615351
130,60,1.594044494,7.419728058,1.202577234,2.646582421
130,65,1.820536915,7.419724486,1.260938178,2.646582001
130,70,2.091875323,7.419724034,1.324998459,2.646581756
130,75,2.393036933,7.419718961,1.390115965,2.646581191
140,80,2.710524451,7.419734693,1.453286861,2.646585375
140,60,1.697380764,7.445369524,1.232156816,2.64692286
140,65,1.935322951,7.445384638,1.290986525,2.64692462
140,70,2.219683322,7.445401906,1.355466351,2.646926523
140,75,2.534486252,7.445410828,1.420908868,2.646927611
140,80,2.865507906,7.445417387,1.48429207,2.64692835
150,60,1.797115493,7.467816113,1.259468724,2.647202313
150,65,2.045795043,7.467816211,1.318681132,2.647202347
150,70,2.342302329,7.467816537,1.383491516,2.647202352
150,75,2.669757989,7.467815959,1.449176496,2.647202283
150,80,3.013257452,7.467815732,1.512705429,2.647202268
160,60,1.893440387,7.487575016,1.284800158,2.647428845
160,65,2.152208359,7.487576077,1.344330383,2.647428956
160,70,2.460073649,7.487574401,1.40940552,2.647428828
160,75,2.79929936,7.487576245,1.475271827,2.647428951
160,80,3.154341427,7.487574622,1.538892419,2.64742883
170,60,1.986555053,7.505129891,1.308400122,2.64761603
170,65,2.254818267,7.505129528,1.368191923,2.647616027
170,70,2.573326061,7.505129346,1.433475761,2.647616009
170,75,2.923520793,7.505128964,1.49947093,2.647615981
170,80,3.289266704,7.505130225,1.563139017,2.647616084
180,60,2.076642933,7.520835529,1.330471496,2.647771877
180,65,2.353859264,7.520834673,1.390477935,2.64777182
180,70,2.682356686,7.5208351,1.455923335,2.64777187
180,75,3.042799094,7.520836009,1.52200502,2.647771943
180,80,3.418489475,7.520835508,1.585683397,2.647771902
190,60,2.163878736,7.534978562,1.351185391,2.647902823
190,65,2.449551441,7.534977764,1.411366768,2.647902759
190,70,2.787443933,7.53497951,1.476934293,2.647902911
190,75,3.157476637,7.534979048,1.543066546,2.647902873
190,80,3.542430241,7.534979904,1.606725756,2.647902943
200,60,2.248419598,7.547786795,1.370684979,2.64801361
200,65,2.542091677,7.547786767,1.43100751,2.648013608
200,70,2.888833316,7.547786724,1.496663353,2.648013618
200,75,3.267859464,7.547786366,1.562816634,2.648013571
200,80,3.661456182,7.547787382,1.62643183,2.64801368
210,60,2.330417028,7.559446103,1.389093656,2.648107934
210,65,2.631667261,7.559445739,1.449528142,2.648107904
210,70,2.986759477,7.559446018,1.515244264,2.648107949
210,75,3.374233664,7.559445766,1.581393694,2.648107947
210,80,3.775911039,7.559446303,1.644944287,2.648107991
220,60,2.410009307,7.570106696,1.406516803,2.64818857
220,65,2.718449163,7.570107039,1.467038386,2.648188595
220,70,3.081432675,7.570107156,1.532790474,2.648188614
220,75,3.476856652,7.570108158,1.598915097,2.648188696
220,80,3.88610161,7.570107519,1.662384096,2.648188677
230,60,2.487322576,7.579896523,1.423045325,2.648257939
230,65,2.802592165,7.579897486,1.483632381,2.648258018
230,70,3.173043846,7.57989814,1.549399831,2.648258083
230,75,3.575957668,7.579897705,1.615481475,2.648258071
230,80,3.992303251,7.579897945,1.678855016,2.648258099
240,60,2.562484888,7.58892225,1.438760637,2.648317875
240,65,2.884251221,7.588923852,1.499394386,2.648318029
240,70,3.261780187,7.588923381,1.565159101,2.648318006
240,75,3.671764687,7.588923873,1.631182953,2.648318064
240,80,4.094782832,7.588925485,1.694449418,2.648318202
250,65,2.963555406,7.59727358,1.514395238,2.648370029
