weight,height,a,b,c,d
100,60,1.534814466,7.468805588,1.190509627,2.647142808
210,60,1.733220514,7.46468503,1.243858595,2.647433063
110,65,1.836297338,7.442923806,1.266908232,2.645152804
240,65,2.147080372,7.471435621,1.341963361,2.64773865
120,70,2.188974062,7.45820112,1.348194325,2.645960484
280,70,2.639089656,7.440569661,1.44208473,2.645365295
130,75,2.536377795,7.427167522,1.420932635,2.644343707
320,75,3.221726764,7.453049933,1.548741328,2.646415953
150,80,3.016751805,7.426928212,1.510174465,2.643920049
360,80,3.828776768,7.448678449,1.643782029,2.645145666
