Weight,Height,lower_asymptote,upper_asymptote,growth_rate,inflection_point
100,60,-0.000880061,1.980369684,2.778084197,1.4809198
100,65,-0.000967791,1.985695216,2.770478781,1.481928654
100,70,-0.000859694,1.981036251,2.778286608,1.480997272
110,60,-0.000771044,1.962496509,2.991842318,1.386939604
110,65,-0.000785293,1.962280801,2.991845521,1.386922846
110,70,-0.000842146,1.972847878,2.978144839,1.388871805
110,75,-0.000705365,1.957649547,2.998741265,1.385299827
120,60,-0.00070504,1.958926719,3.184555631,1.308396967
120,65,-0.000774593,1.968700212,3.172392794,1.310248695
120,70,-0.000747474,1.944777333,3.193789781,1.306452795
120,75,-0.000626485,1.948279759,3.201883737,1.305484329
130,60,-0.000685852,1.943284996,3.385860368,1.237941154
130,65,-0.000785854,1.9602607,3.363017661,1.240849136
130,70,-0.000428027,1.92682437,3.421019903,1.234517851
130,75,-0.000740538,1.955433533,3.375124153,1.238778612
130,80,-0.000654877,1.935279581,3.397887703,1.235681853
140,60,-0.000612208,1.934730977,3.580342047,1.176579584
140,65,-0.000656603,1.936628819,3.576610415,1.176901456
140,70,-0.000568464,1.935450639,3.585666295,1.175639935
140,75,-0.000597838,1.937375663,3.581730669,1.175900839
140,80,-0.000640661,1.9346347,3.580924799,1.175851921
150,60,-0.000480977,1.913691192,3.79190163,1.120237583
150,65,-0.000569466,1.930648982,3.76480126,1.122807085
150,70,-0.000502801,1.921233351,3.782021147,1.120512303
150,75,-0.000521205,1.921614362,3.782550194,1.120499798
150,80,-0.000557138,1.928170794,3.771518734,1.121558646
160,60,-0.000579234,1.921892922,3.954147151,1.073624012
160,65,-0.000556616,1.922683549,3.947996095,1.074148964
160,70,-0.000636632,1.940081365,3.930306931,1.075369364
160,75,-0.000523848,1.922156409,3.954167561,1.073132749
160,80,-0.000672467,1.937721155,3.932284825,1.075001483
170,60,-0.000438898,1.904988622,4.152867616,1.028561571
170,65,-0.000501532,1.91606989,4.134330507,1.030171337
170,70,-0.000483136,1.914651552,4.139716696,1.029145792
170,75,-0.000616158,1.928501726,4.117508748,1.030794303
170,80,-0.000531711,1.919002907,4.1306152,1.029734925
180,60,-0.000440441,1.902522968,4.328244136,0.9892152088
180,65,-0.000440255,1.908493167,4.324242443,0.9892071151
180,70,-0.000532575,1.9124256,4.312818952,0.9896697362
