Weight,RTF,LT4,LT3,frequency,Alt
90-115,0-10,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
90-115,11-15,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
90-115,16-20,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
90-115,21-30,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
90-115,31-35,62.5,2.5,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
90-115,36-40,50.0,2.5,1,No
90-115,41-45,50.0,2.5,1,No
90-115,46-55,37.5,2.5,1,No
90-115,56-60,37.5,2.5,1,No
90-115,61-75,25.0,2.5,1,No
90-115,76-80,25.0,2.5,1,No
90-115,81-90,12.5,2.5,0,No
90-115,91-100,0.0,0.0,0,No
116-140,0-10,87.5,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
116-140,11-15,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
116-140,16-20,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
116-140,21-30,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
116-140,31-35,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
116-140,36-40,50.0,5.0,1,No
116-140,41-45,50.0,2.5,1,No
116-140,46-55,50.0,2.5,1,No
116-140,56-60,37.5,2.5,1,No
116-140,61-75,25.0,2.5,1,No
116-140,76-80,25.0,2.5,1,No
116-140,81-90,25.0,2.5,0,No
116-140,91-100,0.0,0.0,0,No
141-165,0-10,87.5,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-165,11-15,87.5,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-165,16-20,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
141-165,21-25,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
141-165,26-30,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-165,31-35,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-165,36-40,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
141-165,41-45,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
141-165,46-50,50.0,2.5,1,No
141-165,51-55,50.0,2.5,1,No
141-165,56-60,37.5,2.5,1,No
141-165,61-65,37.5,2.5,1,No
141-165,66-70,37.5,2.5,1,No
141-165,71-75,25.0,2.5,1,No
141-165,76-80,25.0,2.5,1,No
141-165,81-85,25.0,2.5,1,No
141-165,86-90,12.5,2.5,1,No
141-165,91-100,0.0,0.0,0,No
166-190 ,0-5,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
166-190 ,6-10,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
166-190 ,11-15,87.5,5.0,1,75 µg LT4 + 5 µg LT3 (2x/day)
166-190 ,16-20,87.5,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
166-190 ,21-25,75.0,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
166-190 ,26-30,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
166-190 ,31-35,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
166-190 ,36-40,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
166-190 ,41-45,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
166-190 ,46-50,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
166-190 ,51-55,50.0,2.5,1,No
166-190 ,56-60,37.5,2.5,1,No
166-190 ,61-65,37.5,2.5,1,No
166-190 ,66-70,25.0,2.5,1,No
166-190 ,71-75,25.0,2.5,1,No
166-190 ,76-80,25.0,2.5,1,No
166-190 ,81-90,12.5,2.5,1,No
166-190 ,91-100,0.0,0.0,0,No
