Weight,RTF,LT4,LT3,frequency,Alt
100-140,0-5,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
100-140,6-10,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
100-140,11-15,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
100-140,16-20,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
100-140,21-25,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
100-140,26-30,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
100-140,31-35,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
100-140,36-40,75.0,5.0,1,No
100-140,41-45,62.5,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
100-140,46-50,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
100-140,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
100-140,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
100-140,61-65,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
100-140,66-70,37.5,2.5,1,No
100-140,71-75,37.5,2.5,1,No
100-140,76-80,25.0,2.5,1,No
100-140,81-85,12.5,2.5,1,No
100-140,86-90,12.5,2.5,1,No
100-140,91-100,0.0,0.0,1,No
141-170,0-5,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
141-170,6-10,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
141-170,11-15,100.0,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
141-170,16-20,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
141-170,21-25,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
141-170,26-30,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
141-170,31-35,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
141-170,36-40,75.0,5.0,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
141-170,41-45,62.5,5.0,1,No
141-170,46-50,50.0,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-170,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
141-170,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-170,61-65,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-170,66-70,37.5,2.5,1,No
